Date,Infosys,Indian Hotel,Mahindra & Mahindra,Axis Bank,SAIL,Shree Cement,Sun Pharma,Jindal Steel,Idea Vodafone,Jet Airways
31-03-2014,264,69,455,263,68,5543,555,298,83,278
07-04-2014,257,68,458,276,70,5728,610,279,84,303
14-04-2014,254,68,454,270,68,5649,607,279,83,280
21-04-2014,253,68,488,283,68,5692,604,274,83,282
28-04-2014,256,65,482,282,63,5582,611,238,79,243
05-05-2014,248,64,502,300,67,5646,606,244,80,239
12-05-2014,253,68,508,324,75,6041,596,269,84,244
19-05-2014,244,83,528,344,86,6394,567,299,82,289
26-05-2014,234,82,563,339,84,6709,593,296,81,241
02-06-2014,268,89,561,364,104,7453,582,338,83,259
09-06-2014,284,95,560,335,93,7068,611,321,80,250
16-06-2014,296,92,521,363,90,7194,613,317,82,242
23-06-2014,288,94,525,371,89,7059,641,319,77,253
30-06-2014,290,98,560,376,91,7124,689,323,80,274
07-07-2014,297,95,530,353,78,7060,722,279,79,246
14-07-2014,290,86,539,388,84,7172,721,297,81,254
21-07-2014,299,88,564,386,84,6970,759,283,88,251
28-07-2014,298,86,547,376,82,7207,746,267,93,247
04-08-2014,311,79,573,361,78,7094,738,277,94,244
11-08-2014,322,75,616,367,81,7166,791,285,93,236
18-08-2014,321,83,648,392,79,7856,832,294,92,245
25-08-2014,321,89,655,386,78,7726,830,233,95,222
01-09-2014,333,92,656,404,81,8306,833,234,98,218
08-09-2014,328,91,647,405,76,8585,782,236,102,234
15-09-2014,330,90,640,396,71,8433,785,211,102,232
22-09-2014,328,86,649,379,69,8171,784,184,98,213
29-09-2014,343,88,647,369,68,8195,837,171,99,212
06-10-2014,347,88,614,369,70,8179,799,156,90,244
13-10-2014,344,87,584,390,74,8257,776,148,91,224
20-10-2014,362,92,588,412,80,8403,788,160,95,234
27-10-2014,385,96,608,427,80,8926,822,162,96,232
03-11-2014,396,98,577,456,80,8770,870,162,100,252
10-11-2014,399,98,585,464,83,8930,862,159,96,276
17-11-2014,394,99,581,464,80,8782,818,143,102,262
24-11-2014,415,102,616,468,85,8815,817,141,94,323
01-12-2014,394,115,603,485,79,9050,799,153,91,367
